时间,实际功率(MW),预测功率_带NWP_XGB(MW),预测功率_无NWP_XGB(MW)
2019-05-27 18:15:00,0.0,0.2236774,0.17120957
2019-05-27 18:30:00,0.0,0.2236774,0.17120957
2019-05-27 18:45:00,0.0,0.2236774,0.17120957
2019-05-27 19:00:00,0.0,0.2236774,0.17120957
2019-05-27 19:15:00,0.0,0.2236774,0.17120957
2019-05-27 19:30:00,0.0,0.2236774,0.17120957
2019-05-27 19:45:00,0.0,0.2236774,0.17120957
2019-05-27 20:00:00,0.0,0.2236774,0.17120957
2019-05-27 20:15:00,0.0,0.2236774,0.17120957
2019-05-27 20:30:00,0.0,0.2236774,0.17120957
2019-05-27 20:45:00,0.0,0.2236774,0.17120957
2019-05-27 21:00:00,0.0,0.23688412,0.17120957
2019-05-27 21:15:00,0.195357,0.42085218,0.29861856
2019-05-27 21:30:00,0.319675,0.6495633,0.51573515
2019-05-27 21:45:00,0.532792,1.0061996,0.8511336
2019-05-27 22:00:00,0.7281489999999999,1.3098781,0.96241236
2019-05-27 22:15:00,1.260941,1.6157587,1.1208732
2019-05-27 22:30:00,2.166687,2.0734031,1.6751058
2019-05-27 22:45:00,3.445388,3.1621797,2.3704298
2019-05-27 23:00:00,3.658505,3.8776684,3.013734
2019-05-27 23:15:00,5.097044,4.706271,3.9277225
2019-05-27 23:30:00,6.286944999999999,5.639529,4.702748
2019-05-27 23:45:00,7.530127,7.013916,5.237645
2019-05-28 00:00:00,8.844347,7.9187202,6.699999
2019-05-28 00:15:00,9.803372,9.037633,7.269287
2019-05-28 00:30:00,8.542432000000002,9.787587,7.519146
2019-05-28 00:45:00,11.41951,11.328557,9.253854
2019-05-28 01:00:00,12.68045,12.050782,9.887576
2019-05-28 01:15:00,13.4974,12.774929,8.974108
2019-05-28 01:30:00,14.13675,13.559798,10.917778
2019-05-28 01:45:00,14.75834,14.200415,11.191309
2019-05-28 02:00:00,15.29113,14.910199,11.830165
2019-05-28 02:15:00,15.85944,15.808881,12.040016
2019-05-28 02:30:00,16.232401,15.702839,11.643767
2019-05-28 02:45:00,16.51655,16.16713,13.913255
2019-05-28 03:00:00,16.782949,16.263908,14.223263
2019-05-28 03:15:00,17.297979,16.384659,14.78623
2019-05-28 03:30:00,17.386779999999998,16.38804,15.128517
2019-05-28 03:45:00,17.475579999999997,16.38804,15.128517
2019-05-28 04:00:00,17.511101,16.337969,15.279118
2019-05-28 04:15:00,17.4223,15.92164,13.290479
2019-05-28 04:30:00,17.351259,16.291763,15.32655
2019-05-28 04:45:00,17.315741,16.314308,15.3764105
2019-05-28 05:00:00,16.996071,16.278833,14.846305
2019-05-28 05:15:00,16.853991,16.027618,12.549993
2019-05-28 05:30:00,16.338949,15.674285,12.110248
2019-05-28 05:45:00,16.0548,15.919122,14.166168
2019-05-28 06:00:00,15.48649,15.767321,13.358844
2019-05-28 06:15:00,14.91818,14.381225,11.984475
2019-05-28 06:30:00,14.3321,14.057426,12.025116
2019-05-28 06:45:00,13.76379,13.36028,10.942645
2019-05-28 07:00:00,12.84029,13.033556,11.123593
2019-05-28 07:15:00,12.11214,12.111396,9.718662
2019-05-28 07:30:00,11.20639,11.509431,9.741
2019-05-28 07:45:00,10.15857,9.397925,8.379562
2019-05-28 08:00:00,9.181782,8.665001,7.5399003
2019-05-28 08:15:00,8.204996000000001,7.618717,6.361926
2019-05-28 08:30:00,6.9973350000000005,6.994198,6.4118834
2019-05-28 08:45:00,5.825192,5.466522,5.244251
2019-05-28 09:00:00,4.777368,4.5867624,4.0197554
2019-05-28 09:15:00,3.711784,4.0911207,3.440714
2019-05-28 09:30:00,2.752759,3.340948,2.6194859
2019-05-28 09:45:00,1.864772,2.3765712,1.9455078
2019-05-28 10:00:00,1.420779,1.6361477,1.0821629
2019-05-28 10:15:00,1.136623,1.3377225,0.8829913
2019-05-28 10:30:00,0.710389,1.0092316,0.50714326
2019-05-28 10:45:00,0.443993,0.63496804,0.49371386
2019-05-28 11:00:00,0.159838,1.0342319,1.0215337
2019-05-28 11:15:00,0.0,0.26666927,0.17945552
2019-05-28 11:30:00,0.0,0.24295306,0.17945552
2019-05-28 11:45:00,0.0,0.24295306,0.17933965
2019-05-28 12:00:00,0.0,0.24371743,0.18011117
2019-05-28 12:15:00,0.0,0.24371743,0.17917347
2019-05-28 12:30:00,0.0,0.24339724,0.17913747
2019-05-28 12:45:00,0.0,0.24339724,0.17913747
2019-05-28 13:00:00,0.0,0.2426331,0.17381811
2019-05-28 13:15:00,0.0,0.2426331,0.17381811
2019-05-28 13:30:00,0.0,0.2426331,0.17381811
2019-05-28 13:45:00,0.0,0.2426331,0.17381811
2019-05-28 14:00:00,0.0,0.2426331,0.17381811
2019-05-28 14:15:00,0.0,0.2426331,0.17381811
2019-05-28 14:30:00,0.0,0.2426331,0.17381811
2019-05-28 14:45:00,0.0,0.2426331,0.17381811
2019-05-28 15:00:00,0.0,0.2234304,0.17381811
2019-05-28 15:15:00,0.0,0.2234304,0.17381811
2019-05-28 15:30:00,0.0,0.2364204,0.17381811
2019-05-28 15:45:00,0.0,0.2234304,0.17381811
2019-05-28 16:00:00,0.0,0.24683952,0.17381811
2019-05-28 16:15:00,0.0,0.24683952,0.17381811
2019-05-28 16:30:00,0.0,0.24683952,0.17381811
2019-05-28 16:45:00,0.0,0.24695706,0.17381811
2019-05-28 17:00:00,0.0,0.2236774,0.17381811
2019-05-28 17:15:00,0.0,0.2236774,0.17381811
2019-05-28 17:30:00,0.0,0.2236774,0.17381811
2019-05-28 17:45:00,0.0,0.2236774,0.17381811
2019-05-28 18:00:00,0.0,0.2236774,0.17381811
2019-05-28 18:15:00,0.0,0.2236774,0.17381811
2019-05-28 18:30:00,0.0,0.2236774,0.17381811
2019-05-28 18:45:00,0.0,0.2236774,0.17381811
2019-05-28 19:00:00,0.0,0.2236774,0.17381811
2019-05-28 19:15:00,0.0,0.2236774,0.17381811
2019-05-28 19:30:00,0.0,0.2236774,0.17381811
2019-05-28 19:45:00,0.0,0.2236774,0.17381811
2019-05-28 20:00:00,0.0,0.2236774,0.17381811
2019-05-28 20:15:00,0.0,0.2236774,0.17381811
2019-05-28 20:30:00,0.0,0.2236774,0.17381811
2019-05-28 20:45:00,0.0,0.2236774,0.17381811
2019-05-28 21:00:00,0.0,0.24739361,0.17381811
2019-05-28 21:15:00,0.195357,0.43315506,0.3555336
2019-05-28 21:30:00,0.372954,0.7235658,0.52535295
2019-05-28 21:45:00,0.621591,0.9972849,0.6543772
2019-05-28 22:00:00,0.816948,1.2959039,0.83924985
2019-05-28 22:15:00,1.189902,1.5819569,1.1823885
2019-05-28 22:30:00,1.864772,2.3289018,1.9780381
2019-05-28 22:45:00,2.734999,3.1777909,3.025917
2019-05-28 23:00:00,3.818342,3.7481904,3.4723814
2019-05-28 23:15:00,4.990485,4.596992,4.204586
2019-05-28 23:30:00,6.091588,5.887171,5.004362
2019-05-28 23:45:00,7.192692,6.7363687,5.6732
2019-05-29 00:00:00,8.382594000000001,7.810895,7.464414
2019-05-29 00:15:00,9.483697,8.641504,8.264855
2019-05-29 00:30:00,10.51376,9.33475,7.9300985
2019-05-29 00:45:00,11.43727,10.827059,9.584228
2019-05-29 01:00:00,12.39629,11.551493,10.225863
2019-05-29 01:15:00,13.17772,12.27434,9.99237
2019-05-29 01:30:00,13.78155,12.80612,11.329908
2019-05-29 01:45:00,14.56298,13.644537,12.588451
2019-05-29 02:00:00,15.16681,13.904359,12.992591
2019-05-29 02:15:00,15.68184,14.586265,13.060326
2019-05-29 02:30:00,16.090321,14.732882,13.466808
2019-05-29 02:45:00,16.48103,14.294821,13.5477915
2019-05-29 03:00:00,16.76519,14.359606,13.876785
2019-05-29 03:15:00,17.013821,14.9342985,13.74483
2019-05-29 03:30:00,17.262461,14.604786,13.934245
2019-05-29 03:45:00,17.315741,14.895734,14.194832
2019-05-29 04:00:00,17.4223,15.012839,14.564866
2019-05-29 04:15:00,17.457821,15.219648,14.011224
2019-05-29 04:30:00,17.209181,15.046276,14.798193
2019-05-29 04:45:00,17.049339,14.791377,14.910377
2019-05-29 05:00:00,16.81847,14.886541,14.498503
2019-05-29 05:15:00,16.445511,15.148148,14.484945
2019-05-29 05:30:00,16.0548,14.647612,12.684429
2019-05-29 05:45:00,15.71736,14.372223,13.293965
2019-05-29 06:00:00,15.39769,13.955018,12.864359
2019-05-29 06:15:00,14.70506,13.585961,12.773777
2019-05-29 06:30:00,13.94139,13.318721,12.483081
2019-05-29 06:45:00,13.3198,11.9317255,11.07697
2019-05-29 07:00:00,12.44957,11.5494175,11.10653
2019-05-29 07:15:00,11.81022,10.888592,10.425258
2019-05-29 07:30:00,10.70912,10.393162,9.3636055
2019-05-29 07:45:00,9.892171,9.101246,8.344238
2019-05-29 08:00:00,8.933146,8.377932,7.5850415
2019-05-29 08:15:00,8.00964,7.1794305,6.848547
2019-05-29 08:30:00,6.890776,6.7623515,6.161109
2019-05-29 08:45:00,5.434478,5.504168,4.8076215
2019-05-29 09:00:00,4.937206,4.404347,4.205016
2019-05-29 09:15:00,3.676265,3.7327313,3.5815065
2019-05-29 09:30:00,2.557401,3.0815544,2.7585514
2019-05-29 09:45:00,1.953571,2.2895837,2.1090407
2019-05-29 10:00:00,1.189902,1.8582987,1.3791196
2019-05-29 10:15:00,0.67487,1.4792647,1.0792191
2019-05-29 10:30:00,0.63935,1.0764852,0.7202046
2019-05-29 10:45:00,0.4617529999999999,0.7378943,0.59326625
2019-05-29 11:00:00,0.088799,1.1204858,1.2203054
2019-05-29 11:15:00,0.0177599999999999,0.29061246,0.18088174
2019-05-29 11:30:00,0.0,0.255826,0.17945552
2019-05-29 11:45:00,0.0,0.255826,0.17933965
2019-05-29 12:00:00,0.0,0.25659013,0.18011117
2019-05-29 12:15:00,0.0,0.25659013,0.17917347
2019-05-29 12:30:00,0.0,0.25627017,0.17913747
2019-05-29 12:45:00,0.0,0.25627017,0.17913747
2019-05-29 13:00:00,0.0,0.2555058,0.17381811
2019-05-29 13:15:00,0.0,0.2555058,0.17381811
2019-05-29 13:30:00,0.0,0.2555058,0.17381811
2019-05-29 13:45:00,0.0,0.2555058,0.17381811
2019-05-29 14:00:00,0.0,0.26628876,0.17381811
2019-05-29 14:15:00,0.0,0.26604247,0.17381811
2019-05-29 14:30:00,0.0,0.26604247,0.17381811
2019-05-29 14:45:00,0.0,0.26604247,0.17381811
2019-05-29 15:00:00,0.0,0.26604247,0.17381811
2019-05-29 15:15:00,0.0,0.26604247,0.17381811
2019-05-29 15:30:00,0.0,0.26604247,0.17381811
2019-05-29 15:45:00,0.0,0.26604247,0.17381811
2019-05-29 16:00:00,0.0,0.26604247,0.17381811
2019-05-29 16:15:00,0.0,0.24683952,0.17381811
2019-05-29 16:30:00,0.0,0.24683952,0.17381811
2019-05-29 16:45:00,0.0,0.24683952,0.17381811
2019-05-29 17:00:00,0.0,0.24683952,0.17381811
2019-05-29 17:15:00,0.0,0.24683952,0.17381811
2019-05-29 17:30:00,0.0,0.24683952,0.17381811
2019-05-29 17:45:00,0.0,0.25790977,0.17381811
