起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2019/02/24/00:00,2019/02/25/10:45,0.0,0.054848194
2019/02/24/00:00,2019/02/25/11:00,0.0,0.04189539
2019/02/24/00:00,2019/02/25/11:15,0.0,0.04189539
2019/02/24/00:00,2019/02/25/11:30,0.0,0.04189539
2019/02/24/00:00,2019/02/25/11:45,0.0,0.04189539
2019/02/24/00:00,2019/02/25/12:00,0.0,0.039536238
2019/02/24/00:00,2019/02/25/12:15,0.0,0.039536238
2019/02/24/00:00,2019/02/25/12:30,0.0,0.039536238
2019/02/24/00:00,2019/02/25/12:45,0.0,0.039536238
2019/02/24/00:00,2019/02/25/13:00,0.0,0.048202276
2019/02/24/00:00,2019/02/25/13:15,0.0,0.048202276
2019/02/24/00:00,2019/02/25/13:30,0.0,0.048202276
2019/02/24/00:00,2019/02/25/13:45,0.0,0.048202276
2019/02/24/00:00,2019/02/25/14:00,0.0,0.048090696
2019/02/24/00:00,2019/02/25/14:15,0.0,0.048090696
2019/02/24/00:00,2019/02/25/14:30,0.0,0.048090696
2019/02/24/00:00,2019/02/25/14:45,0.0,0.048090696
2019/02/24/00:00,2019/02/25/15:00,0.0,0.048090696
2019/02/24/00:00,2019/02/25/15:15,0.0,0.048090696
2019/02/24/00:00,2019/02/25/15:30,0.0,0.048090696
2019/02/24/00:00,2019/02/25/15:45,0.0,0.048090696
2019/02/24/00:00,2019/02/25/16:00,0.0,0.048090696
2019/02/24/00:00,2019/02/25/16:15,0.0,0.048090696
2019/02/24/00:00,2019/02/25/16:30,0.0,0.048090696
2019/02/24/00:00,2019/02/25/16:45,0.0,0.048090696
2019/02/24/00:00,2019/02/25/17:00,0.0,0.048090696
2019/02/24/00:00,2019/02/25/17:15,0.0,0.048090696
2019/02/24/00:00,2019/02/25/17:30,0.0,0.048090696
2019/02/24/00:00,2019/02/25/17:45,0.0,0.048090696
2019/02/24/00:00,2019/02/25/18:00,0.0,0.048090696
2019/02/24/00:00,2019/02/25/18:15,0.0,0.048090696
2019/02/24/00:00,2019/02/25/18:30,0.0,0.048090696
2019/02/24/00:00,2019/02/25/18:45,0.0,0.048090696
2019/02/24/00:00,2019/02/25/19:00,0.0,0.051705122
2019/02/24/00:00,2019/02/25/19:15,0.0,0.051705122
2019/02/24/00:00,2019/02/25/19:30,0.0,0.051705122
2019/02/24/00:00,2019/02/25/19:45,0.0,0.051705122
2019/02/24/00:00,2019/02/25/20:00,0.0,0.051705122
2019/02/24/00:00,2019/02/25/20:15,0.0,0.051705122
2019/02/24/00:00,2019/02/25/20:30,0.0,0.051705122
2019/02/24/00:00,2019/02/25/20:45,0.0,0.051705122
2019/02/24/00:00,2019/02/25/21:00,0.0,0.051705122
2019/02/24/00:00,2019/02/25/21:15,0.0,0.051705122
2019/02/24/00:00,2019/02/25/21:30,0.0,0.051705122
2019/02/24/00:00,2019/02/25/21:45,0.0,0.051705122
2019/02/24/00:00,2019/02/25/22:00,0.0,0.05641055
2019/02/24/00:00,2019/02/25/22:15,0.0,0.05641055
2019/02/24/00:00,2019/02/25/22:30,0.0,0.05641055
2019/02/24/00:00,2019/02/25/22:45,0.0,0.05641055
2019/02/24/00:00,2019/02/25/23:00,0.0,0.123980284
2019/02/24/00:00,2019/02/25/23:15,0.088799,0.503083
2019/02/24/00:00,2019/02/25/23:30,0.408474,1.068474
2019/02/24/00:00,2019/02/25/23:45,0.781428,1.4502227
2019/02/25/00:00,2019/02/26/00:00,1.1011030000000002,1.8932941
2019/02/25/00:00,2019/02/26/00:15,1.420779,2.425271
2019/02/25/00:00,2019/02/26/00:30,1.829252,3.0091949
2019/02/25/00:00,2019/02/26/00:45,1.935811,3.2247667
2019/02/25/00:00,2019/02/26/01:00,2.699479,4.1686325
2019/02/25/00:00,2019/02/26/01:15,3.782823000000001,4.4081783
2019/02/25/00:00,2019/02/26/01:30,4.599771,4.976774
2019/02/25/00:00,2019/02/26/01:45,4.937206,5.1901827
2019/02/25/00:00,2019/02/26/02:00,5.079284,6.743247
2019/02/25/00:00,2019/02/26/02:15,5.221362,7.2435684
2019/02/25/00:00,2019/02/26/02:30,5.913991,7.248844
2019/02/25/00:00,2019/02/26/02:45,6.393504,7.775112
2019/02/25/00:00,2019/02/26/03:00,6.837497,8.293225
2019/02/25/00:00,2019/02/26/03:15,7.494607000000001,8.293225
2019/02/25/00:00,2019/02/26/03:30,8.70227,8.680606
2019/02/25/00:00,2019/02/26/03:45,8.70227,9.731136
2019/02/25/00:00,2019/02/26/04:00,6.9973350000000005,10.450087
2019/02/25/00:00,2019/02/26/04:15,6.9973350000000005,10.450087
2019/02/25/00:00,2019/02/26/04:30,5.256881,10.459388
2019/02/25/00:00,2019/02/26/04:45,5.061524,11.1028805
2019/02/25/00:00,2019/02/26/05:00,5.061524,10.374401
2019/02/25/00:00,2019/02/26/05:15,5.061524,9.533205
2019/02/25/00:00,2019/02/26/05:30,4.812888,9.533205
2019/02/25/00:00,2019/02/26/05:45,4.759608,9.727397
2019/02/25/00:00,2019/02/26/06:00,3.978180000000001,9.005876
2019/02/25/00:00,2019/02/26/06:15,3.871622,8.353423
2019/02/25/00:00,2019/02/26/06:30,3.551947,7.400635
2019/02/25/00:00,2019/02/26/06:45,3.33883,6.088685
2019/02/25/00:00,2019/02/26/07:00,2.8237970000000003,5.1006436
2019/02/25/00:00,2019/02/26/07:15,2.415324,4.581091
2019/02/25/00:00,2019/02/26/07:30,2.077889,3.575566
2019/02/25/00:00,2019/02/26/07:45,1.669415,3.6289763
2019/02/25/00:00,2019/02/26/08:00,1.403019,3.4085574
2019/02/25/00:00,2019/02/26/08:15,1.225422,3.0310926
2019/02/25/00:00,2019/02/26/08:30,0.941266,2.173216
2019/02/25/00:00,2019/02/26/08:45,0.816948,1.5989752
2019/02/25/00:00,2019/02/26/09:00,0.6571100000000001,1.1228459
2019/02/25/00:00,2019/02/26/09:15,0.426234,0.87337637
2019/02/25/00:00,2019/02/26/09:30,0.177597,0.28254414
2019/02/25/00:00,2019/02/26/09:45,0.0177599999999999,0.045334816
2019/02/25/00:00,2019/02/26/10:00,0.0,0.036762
2019/02/25/00:00,2019/02/26/10:15,0.0,0.036762
2019/02/25/00:00,2019/02/26/10:30,0.0,0.036762
