起报时间,预报时间,实际功率(MW),XGBoost预测功率(MW)
2018/08/27/00:00,2018/08/28/02:15,7.228211,9.132964
2018/08/27/00:00,2018/08/28/02:30,7.228211,10.560484
2018/08/27/00:00,2018/08/28/02:45,6.837497,10.457518
2018/08/27/00:00,2018/08/28/03:00,6.837497,10.660585
2018/08/27/00:00,2018/08/28/03:15,6.837497,10.738395
2018/08/27/00:00,2018/08/28/03:30,8.329314,10.929212
2018/08/27/00:00,2018/08/28/03:45,10.7624,10.989289
2018/08/27/00:00,2018/08/28/04:00,10.7624,11.479366
2018/08/27/00:00,2018/08/28/04:15,10.7624,12.924516
2018/08/27/00:00,2018/08/28/04:30,10.7624,12.901858
2018/08/27/00:00,2018/08/28/04:45,13.21324,13.418508
2018/08/27/00:00,2018/08/28/05:00,13.21324,13.219307
2018/08/27/00:00,2018/08/28/05:15,15.450970000000002,12.45856
2018/08/27/00:00,2018/08/28/05:30,13.21324,11.431892
2018/08/27/00:00,2018/08/28/05:45,11.73918,10.476807
2018/08/27/00:00,2018/08/28/06:00,11.72142,10.368297
2018/08/27/00:00,2018/08/28/06:15,10.86896,10.646299
2018/08/27/00:00,2018/08/28/06:30,10.37168,10.675739
2018/08/27/00:00,2018/08/28/06:45,10.37168,10.20931
2018/08/27/00:00,2018/08/28/07:00,7.743244,9.761658
2018/08/27/00:00,2018/08/28/07:15,7.210452,8.801554
2018/08/27/00:00,2018/08/28/07:30,6.233666,8.643917
2018/08/27/00:00,2018/08/28/07:45,6.233666,7.9063444
2018/08/27/00:00,2018/08/28/08:00,5.612076,6.835883
2018/08/27/00:00,2018/08/28/08:15,5.612076,5.6721516
2018/08/27/00:00,2018/08/28/08:30,5.221362,5.2919145
2018/08/27/00:00,2018/08/28/08:45,3.267791,4.2297454
2018/08/27/00:00,2018/08/28/09:00,2.450843,2.9122841
2018/08/27/00:00,2018/08/28/09:15,2.00685,2.3216352
2018/08/27/00:00,2018/08/28/09:30,1.562856,2.1793895
2018/08/27/00:00,2018/08/28/09:45,0.959026,1.6141634
2018/08/27/00:00,2018/08/28/10:00,0.621591,1.1743252
2018/08/27/00:00,2018/08/28/10:15,0.337435,0.66337633
2018/08/27/00:00,2018/08/28/10:30,0.088799,0.23352742
2018/08/27/00:00,2018/08/28/10:45,0.0,0.11163831
2018/08/27/00:00,2018/08/28/11:00,0.0,0.049467325
2018/08/27/00:00,2018/08/28/11:15,0.0,0.049467325
2018/08/27/00:00,2018/08/28/11:30,0.0,0.049467325
2018/08/27/00:00,2018/08/28/11:45,0.0,0.049467325
2018/08/27/00:00,2018/08/28/12:00,0.0,0.038706064
2018/08/27/00:00,2018/08/28/12:15,0.0,0.038706064
2018/08/27/00:00,2018/08/28/12:30,0.0,0.038706064
2018/08/27/00:00,2018/08/28/12:45,0.0,0.038706064
2018/08/27/00:00,2018/08/28/13:00,0.0,0.036636353
2018/08/27/00:00,2018/08/28/13:15,0.0,0.036636353
2018/08/27/00:00,2018/08/28/13:30,0.0,0.036636353
2018/08/27/00:00,2018/08/28/13:45,0.0,0.036636353
2018/08/27/00:00,2018/08/28/14:00,0.0,0.033209085
2018/08/27/00:00,2018/08/28/14:15,0.0,0.033209085
2018/08/27/00:00,2018/08/28/14:30,0.0,0.033209085
2018/08/27/00:00,2018/08/28/14:45,0.0,0.033209085
2018/08/27/00:00,2018/08/28/15:00,0.0,0.033209085
2018/08/27/00:00,2018/08/28/15:15,0.0,0.033209085
2018/08/27/00:00,2018/08/28/15:30,0.0,0.033209085
2018/08/27/00:00,2018/08/28/15:45,0.0,0.033209085
2018/08/27/00:00,2018/08/28/16:00,0.0,0.033209085
2018/08/27/00:00,2018/08/28/16:15,0.0,0.033209085
2018/08/27/00:00,2018/08/28/16:30,0.0,0.033209085
2018/08/27/00:00,2018/08/28/16:45,0.0,0.033209085
2018/08/27/00:00,2018/08/28/17:00,0.0,0.033209085
2018/08/27/00:00,2018/08/28/17:15,0.0,0.033209085
2018/08/27/00:00,2018/08/28/17:30,0.0,0.033209085
2018/08/27/00:00,2018/08/28/17:45,0.0,0.033209085
2018/08/27/00:00,2018/08/28/18:00,0.0,0.033209085
2018/08/27/00:00,2018/08/28/18:15,0.0,0.033209085
2018/08/27/00:00,2018/08/28/18:30,0.0,0.033209085
2018/08/27/00:00,2018/08/28/18:45,0.0,0.033209085
2018/08/27/00:00,2018/08/28/19:00,0.0,0.03868723
2018/08/27/00:00,2018/08/28/19:15,0.0,0.03868723
2018/08/27/00:00,2018/08/28/19:30,0.0,0.03868723
2018/08/27/00:00,2018/08/28/19:45,0.0,0.03868723
2018/08/27/00:00,2018/08/28/20:00,0.0,0.03868723
2018/08/27/00:00,2018/08/28/20:15,0.0,0.03868723
2018/08/27/00:00,2018/08/28/20:30,0.0,0.03868723
2018/08/27/00:00,2018/08/28/20:45,0.0,0.03868723
2018/08/27/00:00,2018/08/28/21:00,0.0,0.03868723
2018/08/27/00:00,2018/08/28/21:15,0.0,0.03868723
2018/08/27/00:00,2018/08/28/21:30,0.0,0.03868723
2018/08/27/00:00,2018/08/28/21:45,0.0,0.051283598
2018/08/27/00:00,2018/08/28/22:00,0.142078,0.368124
2018/08/27/00:00,2018/08/28/22:15,0.266396,0.65700936
2018/08/27/00:00,2018/08/28/22:30,0.781428,1.0311632
2018/08/27/00:00,2018/08/28/22:45,1.34974,1.4778183
2018/08/27/00:00,2018/08/28/23:00,2.00685,1.8279243
2018/08/27/00:00,2018/08/28/23:15,3.498667,1.83309
2018/08/27/00:00,2018/08/28/23:30,4.599771,2.3883042
2018/08/27/00:00,2018/08/28/23:45,4.919446,2.767638
2018/08/28/00:00,2018/08/29/00:00,6.056069,4.0036454
2018/08/28/00:00,2018/08/29/00:15,7.423567999999999,4.8918076
2018/08/28/00:00,2018/08/29/00:30,8.169477,5.545838
2018/08/28/00:00,2018/08/29/00:45,8.169477,5.790144
2018/08/28/00:00,2018/08/29/01:00,8.169477,6.7219696
2018/08/28/00:00,2018/08/29/01:15,8.169477,6.609475
2018/08/28/00:00,2018/08/29/01:30,7.494607000000001,6.8522034
2018/08/28/00:00,2018/08/29/01:45,7.494607000000001,6.9428887
2018/08/28/00:00,2018/08/29/02:00,7.494607000000001,7.080164
2018/08/28/00:00,2018/08/29/02:15,8.311555,7.3151646
2018/08/28/00:00,2018/08/29/02:30,8.311555,6.893404
2018/08/28/00:00,2018/08/29/02:45,9.679054,6.9482164
2018/08/28/00:00,2018/08/29/03:00,16.35671,6.9387984
2018/08/28/00:00,2018/08/29/03:15,16.35671,6.655787
2018/08/28/00:00,2018/08/29/03:30,16.108079999999998,7.2460914
2018/08/28/00:00,2018/08/29/03:45,16.108079999999998,8.566937
2018/08/28/00:00,2018/08/29/04:00,16.108079999999998,8.558412
2018/08/28/00:00,2018/08/29/04:15,16.108079999999998,8.756999
2018/08/28/00:00,2018/08/29/04:30,17.013821,8.724135
2018/08/28/00:00,2018/08/29/04:45,17.013821,10.461857
2018/08/28/00:00,2018/08/29/05:00,17.013821,10.458493
2018/08/28/00:00,2018/08/29/05:15,16.87175,11.084537
2018/08/28/00:00,2018/08/29/05:30,16.76519,10.383813
2018/08/28/00:00,2018/08/29/05:45,16.161360000000002,8.905419
2018/08/28/00:00,2018/08/29/06:00,15.71736,8.653885
2018/08/28/00:00,2018/08/29/06:15,15.06025,8.437631
2018/08/28/00:00,2018/08/29/06:30,14.54522,8.2908945
2018/08/28/00:00,2018/08/29/06:45,14.012429999999998,8.269447
2018/08/28/00:00,2018/08/29/07:00,12.91133,6.7666144
2018/08/28/00:00,2018/08/29/07:15,12.28973,6.7394023
2018/08/28/00:00,2018/08/29/07:30,11.27743,6.237649
2018/08/28/00:00,2018/08/29/07:45,10.06977,6.176489
2018/08/28/00:00,2018/08/29/08:00,8.64899,5.4975367
2018/08/28/00:00,2018/08/29/08:15,7.192692,4.9778748
2018/08/28/00:00,2018/08/29/08:30,6.730939,5.1764164
2018/08/28/00:00,2018/08/29/08:45,5.381199,3.922596
2018/08/28/00:00,2018/08/29/09:00,4.333375,2.5033765
2018/08/28/00:00,2018/08/29/09:15,3.196752,1.9339827
2018/08/28/00:00,2018/08/29/09:30,2.00685,1.7754092
2018/08/28/00:00,2018/08/29/09:45,1.3142200000000002,1.3065426
2018/08/28/00:00,2018/08/29/10:00,0.586071,0.706702
2018/08/28/00:00,2018/08/29/10:15,0.301915,0.49125624
